"","ex01","ex02","ex03","ex04","ex05","ex06","ex07","ex08","md09","md10","md11","md12","md13","ci14","ci15","ci16","ci17","ci18","ei19","ei20","ei21","ei22","ei23","plc01","plc02","plc03","plc04","plc05","psc06","psc07","psc08","psc09","psc10"
"1",3,4,3,4,2,5,3,2,2,3,3,3,4,3,4,4,4,4,2,1,1,3,3,1,5,2,3,2,1,1,2,5,1
"2",4,4,2,3,1,3,1,4,2,1,1,1,1,3,4,1,4,3,3,2,4,4,1,1,3,3,2,3,1,1,4,4,2
"3",1,4,3,2,4,4,3,3,2,2,1,1,4,2,5,2,4,2,1,2,1,1,2,5,3,3,2,3,1,1,1,1,2
"4",1,4,2,2,1,1,2,1,1,1,1,1,1,3,1,3,1,4,1,1,3,1,3,1,3,1,1,3,3,4,4,4,3
"5",1,2,1,1,1,1,2,1,4,1,1,1,1,3,4,2,1,2,1,1,1,1,1,2,3,4,3,2,1,1,1,3,3
"6",2,2,2,2,2,1,2,1,1,2,1,2,1,2,3,2,3,1,1,1,1,1,2,1,4,2,1,1,1,1,1,1,1
"7",2,2,3,1,1,1,1,1,5,1,1,1,1,1,5,3,1,2,2,1,2,3,1,2,5,5,3,1,4,1,1,3,2
"8",1,5,2,1,4,2,1,1,2,2,1,1,1,1,3,3,1,2,1,1,2,1,1,2,2,3,1,5,1,1,1,1,1
"9",1,1,1,2,2,4,1,2,1,1,1,1,1,1,2,3,2,1,2,1,1,2,1,1,3,2,2,3,1,1,1,1,1
"10",3,4,3,4,3,3,4,4,2,2,2,2,1,3,4,3,2,3,4,2,4,3,3,2,5,5,4,4,4,1,4,4,2
"11",1,5,1,3,2,2,2,2,1,3,1,2,4,3,3,3,2,1,2,1,2,3,3,1,5,5,3,1,2,2,3,3,2
"12",4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,4,3,4,4,3,5,4,4,4,3,2,4,5,4,3
"13",2,4,3,2,2,3,3,2,2,2,1,1,2,2,2,2,3,1,1,2,3,2,2,2,4,2,2,3,1,1,1,1,1
"14",3,3,3,3,2,2,3,3,2,2,2,2,2,4,3,3,3,3,2,3,2,2,2,4,3,3,2,1,4,1,3,3,1
"15",3,2,2,3,4,4,3,3,1,2,2,1,4,4,3,4,4,3,3,1,3,1,2,3,4,2,2,2,2,1,4,5,1
"16",4,4,2,2,2,2,1,2,1,2,1,2,2,2,4,2,4,3,1,1,2,2,2,1,3,2,2,3,1,1,2,3,1
"17",3,4,1,3,2,1,2,3,1,2,1,1,1,4,4,2,3,2,2,3,2,3,3,3,5,4,3,3,3,4,4,3,2
"18",4,4,1,2,2,4,1,2,5,4,1,4,1,2,2,5,5,2,1,1,2,3,1,5,5,5,5,3,1,1,2,1,1
"19",2,5,4,3,3,3,5,5,3,4,3,1,NA,3,4,4,3,4,2,NA,2,3,NA,5,4,3,2,2,2,3,4,4,2
"20",2,1,1,1,2,2,2,2,1,1,1,1,1,2,3,1,2,3,3,1,2,2,1,2,2,2,3,4,1,2,2,2,2
"21",3,3,3,3,4,3,4,3,4,2,1,1,NA,3,5,3,3,NA,2,2,4,3,NA,3,4,3,3,3,1,1,1,2,2
"22",3,4,4,1,4,4,3,4,3,1,1,1,5,4,3,4,4,2,1,1,3,3,1,2,4,4,1,2,1,4,4,4,3
"23",3,3,4,4,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,4,3,4,3,4,3,3,2,3,2,2,3,4,2
"24",2,2,2,2,2,2,3,3,3,2,2,2,2,2,3,3,2,3,3,2,2,2,3,2,3,2,2,3,2,2,2,2,2
"25",3,3,3,3,4,4,2,4,4,3,3,3,3,4,3,4,4,4,1,1,2,4,2,5,2,2,1,4,2,2,3,4,2
"26",1,2,1,1,2,2,1,2,3,3,2,1,1,2,3,2,2,4,1,1,1,1,1,4,4,1,1,1,1,1,1,1,2
"27",3,3,3,2,5,4,3,3,4,3,4,3,2,4,4,3,3,3,2,2,4,3,2,2,3,3,1,2,2,2,2,4,2
"28",2,5,1,1,1,1,1,2,1,1,1,1,1,1,5,1,2,1,1,1,2,1,2,2,3,3,2,2,1,1,2,1,2
"29",3,2,2,3,3,3,3,2,4,2,3,3,2,3,3,3,4,3,1,2,2,2,2,3,3,3,1,4,1,2,1,1,1
"30",2,1,2,1,1,1,2,2,2,1,1,1,1,3,5,3,2,1,2,1,2,2,1,1,3,3,2,3,3,1,3,1,2
"31",2,2,2,1,4,1,2,3,2,3,2,1,2,3,3,4,2,3,1,1,4,3,1,1,3,2,1,1,1,2,2,1,2
"32",3,2,2,3,4,3,1,3,3,3,3,4,3,4,2,4,2,2,1,1,2,1,1,4,3,3,2,2,2,1,2,3,2
"33",2,3,2,2,3,5,4,2,3,3,3,3,2,3,4,4,3,5,2,2,4,3,2,5,4,3,1,4,2,1,3,1,2
"34",1,3,1,2,2,1,2,1,2,4,1,1,1,4,2,2,4,2,1,1,3,2,2,2,4,3,3,1,1,1,3,1,1
"35",4,3,3,3,3,4,2,3,2,3,3,2,3,3,3,4,4,4,2,2,2,3,4,4,4,4,3,4,4,3,3,3,2
"36",4,3,3,1,4,2,3,4,2,2,1,2,1,4,4,3,4,2,3,1,4,1,2,4,5,4,3,1,2,2,5,5,2
"37",2,3,1,3,2,1,3,2,1,1,2,1,1,2,1,1,1,2,1,2,2,4,2,5,4,4,5,2,5,1,4,5,1
"38",2,2,2,3,3,2,2,3,1,2,1,1,2,2,3,2,4,3,1,3,3,1,3,1,2,2,1,4,2,1,3,2,2
"39",2,2,2,2,2,3,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,2,1,1,3,2,1,2,1,1,1,1,1
"40",4,4,4,3,4,3,3,3,3,4,1,4,2,4,3,4,3,4,3,4,2,2,2,4,4,3,3,2,2,3,3,3,3
"41",4,4,2,4,3,4,4,4,4,3,3,2,3,3,4,4,4,3,2,3,3,4,4,2,5,5,4,5,5,4,3,5,2
"42",3,3,3,2,4,2,3,3,3,2,2,2,2,3,3,3,3,3,2,2,3,3,3,2,4,4,3,3,1,2,4,3,1
"43",2,2,2,1,3,4,1,2,2,3,1,1,3,3,4,4,3,4,1,1,3,2,3,2,4,2,2,1,3,2,2,5,2
"44",4,4,4,1,3,4,4,4,3,2,2,1,2,4,5,4,2,3,3,2,1,5,1,4,5,5,5,5,1,4,3,5,4
"45",2,3,2,2,2,2,3,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,3,3,3,3
