"","Engagement","Absorption","Dedication","Vigor"
"1",3.41176470588235,4.16666666666667,2.6,3.33333333333333
"2",5.88235294117647,6,6.4,5.33333333333333
"3",5.94117647058824,5.66666666666667,7,5.33333333333333
"4",5.11764705882353,4.33333333333333,7,4.33333333333333
"5",3.29411764705882,2.66666666666667,4.4,3
"6",5.41176470588235,5.33333333333333,5.6,5.33333333333333
"7",6.41176470588235,6.16666666666667,6.6,6.5
"8",4.29411764705882,4.5,5.2,3.33333333333333
"9",6.47058823529412,6.5,6.8,6.16666666666667
"10",4,3.5,4.8,3.83333333333333
"11",5.58823529411765,4.83333333333333,7,5.16666666666667
"12",4.17647058823529,4.83333333333333,4.2,3.5
"13",5.70588235294118,5.5,6.2,5.5
"14",4.52941176470588,3.66666666666667,5,5
"15",5.17647058823529,5,5.6,5
"16",5.94117647058824,5.5,6.8,5.66666666666667
"17",6.17647058823529,6,7,5.66666666666667
"18",3,3,3.8,2.33333333333333
"19",4.61538461538461,3,6,4.2
"20",5.41176470588235,4.33333333333333,6.6,5.5
"21",4.29411764705882,3.83333333333333,5.2,4
"22",4.91666666666667,4.25,5.5,5
"23",4.22222222222222,3.66666666666667,4.75,4
"24",NA,NA,NA,NA
"25",3,3,3,3
"26",3.66666666666667,2.66666666666667,3.75,4.2
"27",3.58823529411765,3.33333333333333,4.4,3.16666666666667
"28",6.29411764705882,5.16666666666667,7,6.83333333333333
"29",3.5,3.5,4.33333333333333,3
"30",6.2,6,6.6,5.66666666666667
"31",4.47058823529412,4.33333333333333,5.6,3.66666666666667
"32",3.76470588235294,3.33333333333333,5.2,3
"33",3,3.5,3.6,2
"34",5.70588235294118,4.66666666666667,6.6,6
"35",3.6875,3.4,4,3.66666666666667
"36",5.94117647058824,5.83333333333333,6.4,5.66666666666667
"37",6.46666666666667,5.8,7,6.6
"38",NA,NA,NA,NA
"39",4.35294117647059,3.33333333333333,5,4.83333333333333
"40",3.6,3.4,4.2,3.2
"41",5.47058823529412,5.83333333333333,5.2,5.33333333333333
"42",3.875,3.2,4.4,4
"43",5.05882352941176,4.33333333333333,6.8,4.33333333333333
"44",4.58333333333333,4.6,5.75,3
"45",6.64705882352941,6.33333333333333,7,6.66666666666667
"46",6.05882352941176,5.66666666666667,6.8,5.83333333333333
"47",3.70588235294118,3.5,3.8,3.83333333333333
"48",4.05882352941176,3.83333333333333,4.4,4
"49",2.29411764705882,3,1.4,2.33333333333333
"50",1.16666666666667,1,1.5,1.16666666666667
"51",3.94117647058824,4,4,3.83333333333333
"52",4.29411764705882,4.33333333333333,4.6,4
"53",3.46666666666667,3.2,3.8,3.4
"54",4.58823529411765,4.16666666666667,5.2,4.5
"55",5.29411764705882,5,5.4,5.5
"56",6.25,5.8,6.8,6.16666666666667
"57",5.41176470588235,5.16666666666667,5.8,5.33333333333333
"58",3.23529411764706,2,4.2,3.66666666666667
"59",5.41176470588235,5.16666666666667,6.4,4.83333333333333
"60",5.29411764705882,4.5,5.8,5.66666666666667
"61",5.05882352941176,3.16666666666667,6.6,5.66666666666667
"62",5.57142857142857,4.8,6.75,5.4
"63",4.94117647058824,4,5.8,5.16666666666667
"64",5.64705882352941,5.33333333333333,6.6,5.16666666666667
"65",3.88235294117647,4,5.2,2.66666666666667
"66",4.76470588235294,4.33333333333333,5.4,4.66666666666667
"67",5.23076923076923,5.25,6,4.25
"68",5,3.75,5.6,5.5
"69",4.76470588235294,5.33333333333333,4.6,4.33333333333333
"70",3.53846153846154,2.66666666666667,4.8,2.8
"71",6.23529411764706,6,7,5.83333333333333
"72",6.70588235294118,6.5,7,6.66666666666667
"73",5.21428571428571,4.4,6,5.25
"74",4.88235294117647,4.33333333333333,5.8,4.66666666666667
"75",5.23529411764706,5.16666666666667,5.8,4.83333333333333
"76",2.11764705882353,1.66666666666667,2.8,2
"77",5.625,4.6,7,5.33333333333333
"78",2.70588235294118,2.33333333333333,3,2.83333333333333
"79",3.35294117647059,3.66666666666667,3,3.33333333333333
"80",2.58823529411765,2.5,2.2,3
"81",6.88235294117647,6.66666666666667,7,7
"82",4,4,4,4
"83",3.11764705882353,3.16666666666667,3.6,2.66666666666667
"84",4,3.66666666666667,4,4.33333333333333
"85",5.5625,5,6.75,5.33333333333333
"86",6.125,6.2,6.8,5.5
"87",6,5.33333333333333,6.6,6.16666666666667
"88",5.64705882352941,5.16666666666667,6.4,5.5
"89",4.88235294117647,3.66666666666667,5.6,5.5
"90",4.53333333333333,4.5,5,4.2
"91",5.9,5.33333333333333,6.75,5.33333333333333
"92",3.64705882352941,2.5,4.8,3.83333333333333
"93",4.76470588235294,4.33333333333333,5.8,4.33333333333333
"94",5.41176470588235,4.66666666666667,6,5.66666666666667
"95",4.25,3.83333333333333,4.6,4.4
"96",3.54545454545455,3.75,4.75,1.66666666666667
"97",5.35294117647059,4,6.8,5.5
"98",4,3.33333333333333,3.8,4.83333333333333
"99",2.47058823529412,1.66666666666667,3.2,2.66666666666667
"100",3.625,3.6,3.6,3.66666666666667
"101",3.64705882352941,3.66666666666667,4.4,3
"102",4,3.33333333333333,4.4,4.33333333333333
"103",5.5,6,6.2,4.5
"104",3.47058823529412,2.5,3.8,4.16666666666667
"105",3.58823529411765,3.83333333333333,3.8,3.16666666666667
"106",3.94117647058824,3.16666666666667,5,3.83333333333333
"107",4.5,3,5.2,4.75
"108",6.1875,5.83333333333333,6.6,6.2
"109",6.21428571428571,5.8,7,5.75
"110",4.47058823529412,4.16666666666667,4.8,4.5
"111",6.94117647058824,6.83333333333333,7,7
"112",5.0625,5.2,5.4,4.66666666666667
"113",5,4.83333333333333,5,5.16666666666667
"114",6.33333333333333,6,7,NA
"115",6.41176470588235,5.83333333333333,7,6.5
"116",5.35294117647059,5,6.8,4.5
"117",4.88235294117647,3.66666666666667,6.2,5
"118",4.1875,4.16666666666667,4.5,4
"119",4.70588235294118,4.83333333333333,5.6,3.83333333333333
"120",5.41176470588235,4.66666666666667,6.2,5.5
"121",5.13333333333333,4.8,5.4,5.2
"122",4,3.25,5,3.75
"123",4.125,3.5,5,4.16666666666667
"124",3.41176470588235,3,3.8,3.5
"125",6.41176470588235,6.83333333333333,7,5.5
"126",3.52941176470588,3.66666666666667,3.4,3.5
"127",4.82352941176471,4.83333333333333,5.2,4.5
"128",4,3.8,4.8,3.5
"129",NA,NA,NA,NA
"130",4.52941176470588,3.83333333333333,4.8,5
"131",5.33333333333333,5,6,5
"132",6.58823529411765,6.83333333333333,6.4,6.5
"133",4.82352941176471,4.83333333333333,4.8,4.83333333333333
"134",4.0625,3.8,4.6,3.83333333333333
"135",5.58823529411765,4.66666666666667,7,5.33333333333333
"136",3.11764705882353,3,4.2,2.33333333333333
"137",5.64705882352941,5.16666666666667,6.8,5.16666666666667
"138",3.25,2,NA,3.66666666666667
"139",2.35294117647059,1.83333333333333,4,1.5
"140",5.88235294117647,4.33333333333333,6.4,7
"141",4.05882352941176,3.66666666666667,4.8,3.83333333333333
"142",4.70588235294118,4.33333333333333,5,4.83333333333333
"143",6.11764705882353,6,6.4,6
"144",NA,NA,NA,NA
"145",6.29411764705882,5.83333333333333,7,6.16666666666667
"146",4.29411764705882,3,6.6,3.66666666666667
"147",6.47058823529412,6,7,6.5
"148",6.375,5.33333333333333,7,7
"149",NA,NA,NA,NA
"150",4,4.33333333333333,3.6,4
"151",5,4.66666666666667,5.4,5
"152",4.8,5,4.8,4.66666666666667
"153",3.52941176470588,3.16666666666667,4.6,3
"154",3,3,3.6,2.5
"155",2.88235294117647,2.5,4,2.33333333333333
"156",4.58823529411765,4.5,5,4.33333333333333
"157",5.23529411764706,5,5.8,5
"158",NA,NA,NA,NA
"159",5.64705882352941,5,7,5.16666666666667
"160",NA,NA,NA,NA
"161",NA,NA,NA,NA
"162",6,NA,NA,6
"163",5.76923076923077,4.4,7,6
"164",4.69230769230769,3.75,5.8,4.25
"165",4.52941176470588,4,5.2,4.5
"166",5.0625,4.5,5.5,5.33333333333333
"167",3.23529411764706,2.33333333333333,4.8,2.83333333333333
"168",4.17647058823529,4,4.4,4.16666666666667
"169",4.9375,4.4,5.6,4.83333333333333
"170",4.58823529411765,3,6.6,4.5
"171",4.5,3.8,4.6,5
"172",6.05882352941176,5.66666666666667,5.8,6.66666666666667
"173",5,4.66666666666667,5.5,5
"174",3.58823529411765,3.5,3.8,3.5
"175",6.23529411764706,5.83333333333333,6.8,6.16666666666667
"176",5,4.5,5.8,4.83333333333333
"177",6.0625,6,6.8,5.5
"178",3.35294117647059,3.16666666666667,4,3
"179",2.88235294117647,2,3.4,3.33333333333333
"180",NA,NA,NA,NA
"181",3.82352941176471,3.33333333333333,4.4,3.83333333333333
"182",5.52941176470588,5.33333333333333,5.8,5.5
"183",5.05882352941176,5,5,5.16666666666667
"184",4.8125,5,4.4,5
"185",5.88235294117647,4.66666666666667,7,6.16666666666667
"186",1.82352941176471,1.66666666666667,2,1.83333333333333
"187",3.76470588235294,3.5,4.2,3.66666666666667
"188",3.76923076923077,3,4.2,4
"189",NA,NA,NA,NA
"190",3.64705882352941,3,6.4,2
"191",7,7,7,7
"192",5.41176470588235,4.66666666666667,6,5.66666666666667
"193",6.64705882352941,6,7,7
"194",4.41176470588235,4.33333333333333,4.6,4.33333333333333
"195",5.35294117647059,5.33333333333333,5.8,5
"196",6,6,6,6
"197",4.94117647058824,4.66666666666667,5.6,4.66666666666667
"198",3.70588235294118,2.66666666666667,4.8,3.83333333333333
"199",5.6875,5.8,5.8,5.5
"200",4.30769230769231,3,4.25,5.4
"201",4.52941176470588,4.16666666666667,4.8,4.66666666666667
"202",4.70588235294118,4.5,4.6,5
"203",3.17647058823529,2,5,2.83333333333333
"204",4,3,4.8,3.5
"205",3.875,4.4,4.2,3.16666666666667
"206",3.88235294117647,4.66666666666667,4,3
"207",4.47058823529412,4.33333333333333,5.4,3.83333333333333
"208",5.8,5,6.8,5.6
"209",3.47058823529412,3.16666666666667,4,3.33333333333333
"210",6.58823529411765,5.83333333333333,7,7
"211",3.94117647058824,3.83333333333333,3.8,4.16666666666667
"212",6.70588235294118,6.83333333333333,6.8,6.5
"213",5.88235294117647,5.16666666666667,6.4,6.16666666666667
"214",4.11764705882353,4.83333333333333,2.4,4.83333333333333
"215",5.76470588235294,4.66666666666667,6.6,6.16666666666667
"216",5.64705882352941,5.16666666666667,6,5.83333333333333
"217",4.35294117647059,3.66666666666667,4.8,4.66666666666667
"218",6,6.16666666666667,5.8,6
