"","UWES_VI1","UWES_DE1","UWES_AB1","UWES_VI2","UWES_DE2","UWES_AB2","UWES_DE3","UWES_VI3","UWES_AB3","UWES_DE4","UWES_AB4","UWES_VI4","UWES_DE5","UWES_AB5","UWES_VI5","UWES_AB6","UWES_VI6"
"1",4,2,5,4,2,1,2,2,7,2,5,5,5,3,3,4,2
"2",4,6,7,5,6,6,6,7,5,7,6,6,7,5,5,7,5
"3",5,7,7,5,7,3,7,5,7,7,6,6,7,7,5,4,6
"4",4,7,7,4,7,3,7,3,2,7,3,3,7,7,7,4,5
"5",3,4,4,5,5,2,5,3,2,6,1,1,2,3,5,4,1
"6",4,6,6,6,6,5,6,6,5,5,5,5,5,6,5,5,6
"7",7,7,7,7,7,7,7,7,4,7,7,7,5,5,4,7,7
"8",3,5,1,1,7,1,3,1,7,7,6,6,4,7,7,5,2
"9",6,7,6,6,7,7,6,6,7,7,6,6,7,7,6,6,7
"10",4,5,3,3,5,5,4,2,2,6,3,4,4,4,5,4,5
"11",4,7,4,4,7,6,7,5,4,7,4,6,7,7,6,4,6
"12",2,4,6,3,4,5,4,3,4,4,5,3,5,4,5,5,5
"13",6,7,7,5,7,5,5,5,6,7,5,5,5,6,7,4,5
"14",5,5,4,5,6,4,4,5,4,5,3,5,5,4,5,3,5
"15",6,6,5,6,5,6,5,4,5,7,4,4,5,6,6,4,4
"16",4,7,6,6,6,6,7,5,6,7,5,6,7,6,6,4,7
"17",6,7,7,6,7,6,7,6,6,7,6,5,7,7,5,4,6
"18",1,5,5,1,1,1,1,1,1,7,2,5,5,2,3,7,3
"19",5,6,NA,5,7,NA,6,NA,4,7,1,1,4,4,4,NA,6
"20",6,5,5,6,7,3,7,5,7,7,3,4,7,6,6,2,6
"21",4,5,3,5,6,4,5,3,3,5,4,3,5,5,5,4,4
"22",4,5,NA,NA,NA,NA,5,NA,4,7,3,7,5,7,4,3,5
"23",5,NA,NA,NA,5,3,5,NA,3,5,NA,NA,4,NA,3,5,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2,3,5,3,3,4,3,4,2,3,2,2,3,2,3,3,4
"26",2,4,NA,NA,NA,NA,4,4,4,4,3,5,3,NA,6,1,4
"27",3,6,3,3,4,5,4,2,2,3,3,1,5,4,4,3,6
"28",7,7,6,7,7,1,7,7,6,7,5,7,7,7,6,6,7
"29",3,6,5,3,4,3,NA,NA,NA,3,NA,3,NA,3,3,3,3
"30",NA,7,7,6,6,NA,7,NA,5,7,NA,5,6,NA,6,NA,NA
"31",3,7,7,3,6,2,5,4,4,7,4,4,3,4,4,5,4
"32",3,5,3,3,6,3,6,4,4,6,4,2,3,5,3,1,3
"33",2,4,3,2,3,4,3,2,6,4,3,2,4,3,2,2,2
"34",6,7,4,5,7,4,6,5,6,7,4,6,6,7,7,3,7
"35",4,5,3,4,5,4,3,4,3,2,NA,3,5,4,4,3,3
"36",5,6,7,7,7,7,6,7,4,7,5,4,6,6,5,6,6
"37",6,7,6,6,7,NA,7,NA,6,7,6,7,7,6,7,5,7
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",4,5,4,4,4,3,6,5,3,5,3,6,5,4,5,3,5
"40",3,4,5,NA,3,NA,4,3,3,4,3,4,6,3,3,3,3
"41",4,4,7,6,5,6,5,6,5,6,5,6,6,5,5,7,5
"42",3,4,3,4,4,4,5,4,3,4,3,5,5,3,4,NA,4
"43",5,7,7,3,7,1,7,6,7,7,4,4,6,6,1,1,7
"44",2,NA,7,1,5,1,4,6,NA,7,7,NA,7,3,NA,5,NA
"45",7,7,7,7,7,6,7,7,6,7,6,5,7,7,7,6,7
"46",5,6,6,6,7,5,7,6,7,7,5,7,7,6,6,5,5
"47",3,4,4,3,4,3,4,5,4,4,3,5,3,4,4,3,3
"48",5,5,3,3,4,4,5,4,3,4,5,3,4,4,5,4,4
"49",4,2,6,4,2,2,1,2,3,1,4,2,1,2,1,1,1
"50",1,NA,1,1,NA,1,2,1,NA,1,1,1,NA,1,1,NA,2
"51",3,3,4,4,5,5,3,5,3,5,3,3,4,5,3,4,5
"52",4,4,5,4,4,6,4,5,4,5,4,4,6,4,4,3,3
"53",2,4,6,4,3,NA,3,2,2,4,1,NA,5,4,6,3,3
"54",4,6,6,4,5,3,5,5,5,4,3,4,6,4,5,4,5
"55",5,6,5,5,4,5,4,4,5,7,6,6,6,4,6,5,7
"56",6,7,6,6,7,6,7,6,4,7,6,6,6,7,6,NA,7
"57",6,7,5,6,6,5,6,5,6,6,6,5,4,6,5,3,5
"58",2,4,3,2,3,1,3,6,1,7,3,3,4,3,2,1,7
"59",4,7,6,5,7,4,7,4,6,7,4,5,4,7,6,4,5
"60",4,5,5,6,7,5,6,7,4,7,4,5,4,6,6,3,6
"61",6,7,3,6,6,2,7,6,3,7,6,5,6,3,5,2,6
"62",5,NA,NA,7,7,3,7,NA,5,6,4,5,7,7,5,5,5
"63",6,6,4,6,6,4,4,4,4,7,3,6,6,6,4,3,5
"64",5,7,6,5,6,5,7,6,6,7,3,5,6,6,6,6,4
