"","perfecture","sex","age","education"
"1","A6","F",1,"A6"
"2","A9","F",1,"A5"
"3","A10","F",1,"A6"
"4","A9","F",1,"A5"
"5","A10","F",2,"A5"
"6","A9","M",1,"A5"
"7","A10","F",2,"A5"
"8","A9","F",1,"A5"
"9","A10","F",1,"A5"
"10","A9","F",1,"A5"
"11","A7","F",1,"A5"
"12","A9","F",1,"A5"
"13","A9","F",1,"A5"
"14","A10","F",1,"A5"
"15","A12","F",1,"A5"
"16","A9","M",1,"A5"
"17","A10","F",1,"A5"
"18","A10","F",1,"A6"
"19","A10","F",1,"A5"
"20","A7","M",1,"A5"
"21","A7","M",1,"A5"
"22","A6","F",1,"A5"
"23","A12","M",1,"A5"
"24","A6","M",2,"A5"
"25","A10","F",2,"A7"
"26","A2","M",1,"A5"
"27","A10","F",1,"A5"
"28","A10","F",7,"A5"
"29","A2","M",1,"A5"
"30","A9","F",1,"A5"
"31","A10","F",1,"A5"
"32","A1","M",1,"A5"
"33","A10","M",2,"A4"
"34","A9","F",1,"A5"
"35","A7","M",2,"A5"
"36","A10","F",2,"A5"
"37","A7","F",1,"A5"
"38","A4","M",1,"A7"
"39","A9","M",3,"A5"
"40","A6","M",1,"A5"
"41","A9","F",2,"A5"
"42","A9","F",1,"A7"
"43","A8","F",1,"A6"
"44","A7","F",1,"A5"
"45","A2","F",7,"A7"
"46","A7","F",1,"A5"
"47","A2","F",2,"A5"
"48","A2","F",2,"A7"
"49","A7","M",2,"A5"
"50","A9","F",1,"A5"
"51","A10","F",2,"A6"
"52","A10","M",2,"A7"
"53","A10","F",2,"A7"
"54","A2","F",2,"A6"
"55","A10","F",2,"A7"
"56","A9","F",1,"A5"
"57","A9","F",2,"A5"
"58","A10","M",1,"A5"
"59","A7","F",1,"A5"
"60","A3","F",2,"A7"
"61","A10","F",1,"A5"
"62","A11","F",1,"A5"
"63","A10","F",4,"A7"
"64","A10","F",1,"A5"
"65","A10","F",1,"A7"
"66","A7","F",2,"A5"
"67","A7","F",1,"A6"
"68","A7","F",1,"A5"
"69","A7","M",2,"A7"
"70","A10","F",1,"A5"
"71","A7","F",1,"A7"
"72","A8","F",2,"A7"
"73","A5","F",1,"A5"
"74","A10","F",1,"A5"
"75","A10","F",2,"A5"
"76","A11","F",1,"A5"
"77","A9","F",1,"A5"
"78","A7","F",2,"A5"
"79","A1","F",2,"A5"
"80","A8","F",2,"A6"
"81","A8","F",2,"A7"
"82","A10","M",1,"A5"
"83","A5","F",1,"A5"
"84","A2","M",2,"A5"
"85","A9","F",1,"A5"
"86","A8","F",1,"A7"
"87","A10","F",2,"A7"
"88","A7","F",1,"A5"
"89","A8","F",2,"A7"
"90","A4","F",1,"A5"
"91","A13","F",1,"A5"
"92","A5","F",2,"A6"
"93","A3","F",1,"A5"
"94","A8","F",1,"A5"
"95","A10","F",2,"A6"
"96","A6","F",1,"A5"
"97","A9","F",1,"A5"
"98","A2","F",1,"A7"
"99","A10","M",2,"A5"
"100","A2","F",1,"A6"
"101","A4","F",2,"A5"
"102","A9","F",2,"A7"
"103","A9","F",1,"A5"
"104","A9","M",2,"A5"
"105","A11","F",2,"A5"
"106","A10","F",1,"A6"
"107","A2","F",1,"A5"
"108","A10","F",2,"A6"
"109","A10","F",1,"A5"
"110","A7","M",1,"A7"
"111","A8","M",1,"A5"
"112","A8","F",2,"A7"
"113","A10","F",1,"A5"
"114","A8","F",1,"A5"
"115","A2","F",2,"A6"
"116","A10","F",3,"A5"
"117","A8","F",1,"A6"
"118","A7","F",1,"A7"
"119","A4","F",1,"A5"
"120","A7","F",2,"A5"
"121","A4","F",1,"A5"
"122","A8","F",1,"A6"
"123","A9","F",2,"A8"
"124","A9","F",1,"A5"
"125","A10","F",2,"A5"
"126","A9","F",3,"A5"
"127","A8","F",2,"A6"
"128","A8","F",1,"A5"
"129","A9","F",2,"A6"
"130","A9","F",2,"A5"
"131","A8","F",1,"A7"
"132","A2","F",2,"A7"
"133","A10","F",1,"A5"
"134","A10","F",1,"A5"
"135","A2","M",1,"A7"
"136","A10","F",2,"A7"
"137","A10","F",1,"A5"
"138","A7","F",2,"A7"
"139","A7","F",1,"A5"
"140","A7","M",2,"A5"
"141","A7","F",1,"A6"
"142","A8","F",1,"A5"
"143","A10","F",7,"A8"
"144","A8","F",2,"A8"
"145","A10","F",1,"A5"
